niveau_risque_assurance,carburant,turbo,nombre_portes,type_vehicule,roues_motrices,emplacement_moteur,empattement(cm),longueur_voiture(cm),largeur_voiture(cm),hauteur_voiture(cm),poids_vehicule(kg),type_moteur,nombre_cylindres,taille_moteur,systeme_carburant,taux_alésage(cm),course_piston(cm),taux_compression,chevaux,tour_moteur,consommation_ville(L/100km),consommation_autoroute(L/100km),prix,marque,modele
3,gas,std,two,décapotable,propulsion,avant,225.0,428.8,162.8,124.0,1155.8,dohc,four,130,mpfi,8.8,6.8,9.0,111,5000,11.200714285714286,8.711666666666666,13495.0,alfa-romeo,giulia
3,gas,std,two,décapotable,propulsion,avant,225.0,428.8,162.8,124.0,1155.8,dohc,four,130,mpfi,8.8,6.8,9.0,111,5000,11.200714285714286,8.711666666666666,16500.0,alfa-romeo,stelvio
1,gas,std,two,hayon,propulsion,avant,240.0,434.8,166.4,133.1,1280.5,ohcv,six,152,mpfi,6.8,8.8,9.0,154,5000,12.379736842105263,9.04673076923077,16500.0,alfa-romeo,Quadrifoglio
2,gas,std,four,berline,traction,avant,253.5,448.6,168.1,137.9,1060.0,ohc,four,109,mpfi,8.1,8.6,10.0,102,5500,9.800625,7.8405000000000005,13950.0,audi,100ls
2,gas,std,four,berline,quatre_roues_motrices,avant,252.5,448.6,168.7,137.9,1280.9,ohc,five,136,mpfi,8.1,8.6,8.0,115,5500,13.0675,10.691590909090909,17450.0,audi,100ls
2,gas,std,two,berline,traction,avant,253.5,450.3,168.4,134.9,1137.2,ohc,five,136,mpfi,8.1,8.6,8.5,110,5500,12.379736842105263,9.4086,15250.0,audi,fox
1,gas,std,four,berline,traction,avant,268.7,489.5,181.4,141.5,1290.0,ohc,five,136,mpfi,8.1,8.6,8.5,110,5500,12.379736842105263,9.4086,17710.0,audi,100ls
1,gas,std,four,break,traction,avant,268.7,489.5,181.4,141.5,1339.9,ohc,five,136,mpfi,8.1,8.6,8.5,110,5500,12.379736842105263,9.4086,18920.0,audi,5000
1,gas,turbo,four,berline,traction,avant,268.7,489.5,181.4,142.0,1399.8,ohc,five,131,mpfi,8.0,8.6,8.3,140,5500,13.836176470588235,11.76075,23875.0,audi,4000
0,gas,turbo,two,hayon,quatre_roues_motrices,avant,252.7,452.6,172.5,132.1,1384.8,ohc,five,131,mpfi,8.0,8.6,7.0,160,5500,14.7009375,10.691590909090909,17859.167,audi,5000s(diesel)
2,gas,std,two,berline,propulsion,avant,257.0,449.1,164.6,137.9,1086.4,ohc,four,108,mpfi,8.9,7.1,8.8,101,5800,10.226739130434783,8.110862068965517,16430.0,bmw,320i
0,gas,std,four,berline,propulsion,avant,257.0,449.1,164.6,137.9,1086.4,ohc,four,108,mpfi,8.9,7.1,8.8,101,5800,10.226739130434783,8.110862068965517,16925.0,bmw,320i
0,gas,std,two,berline,propulsion,avant,257.0,449.1,164.6,137.9,1229.2,ohc,six,164,mpfi,8.4,8.1,9.0,121,4250,11.200714285714286,8.400535714285715,20970.0,bmw,x1
0,gas,std,four,berline,propulsion,avant,257.0,449.1,164.6,137.9,1254.2,ohc,six,164,mpfi,8.4,8.1,9.0,121,4250,11.200714285714286,8.400535714285715,21105.0,bmw,x3
1,gas,std,four,berline,propulsion,avant,262.9,480.1,169.9,141.5,1385.7,ohc,six,164,mpfi,8.4,8.1,9.0,121,4250,11.76075,9.4086,24565.0,bmw,z4
0,gas,std,four,berline,propulsion,avant,262.9,480.1,169.9,141.5,1465.1,ohc,six,209,mpfi,9.2,8.6,8.0,182,5400,14.7009375,10.691590909090909,30760.0,bmw,x4
0,gas,std,two,berline,propulsion,avant,262.9,492.3,172.5,136.4,1533.1,ohc,six,209,mpfi,9.2,8.6,8.0,182,5400,14.7009375,10.691590909090909,41315.0,bmw,x5
0,gas,std,four,berline,propulsion,avant,279.4,500.4,180.1,143.0,1589.8,ohc,six,209,mpfi,9.2,8.6,8.0,182,5400,15.681000000000001,11.76075,36880.0,bmw,x3
2,gas,std,two,hayon,traction,avant,224.5,358.4,153.2,135.1,674.9,l,three,61,2bbl,7.4,7.7,9.5,48,5100,5.0045744680851065,4.438018867924528,5151.0,chevrolet,impala
1,gas,std,two,hayon,traction,avant,240.0,396.0,161.5,132.1,850.0,ohc,four,90,2bbl,7.7,7.9,9.6,70,5400,6.189868421052632,5.470116279069767,6295.0,chevrolet,montecarlo
0,gas,std,four,berline,traction,avant,240.0,403.4,161.5,132.1,865.9,ohc,four,90,2bbl,7.7,7.9,9.6,70,5400,6.189868421052632,5.470116279069767,6575.0,chevrolet,vega2300
1,gas,std,two,hayon,traction,avant,238.0,399.5,162.1,129.0,850.9,ohc,four,90,2bbl,7.5,8.2,9.41,68,5500,6.357162162162163,5.736951219512195,5572.0,dodge,rampage
1,gas,std,two,hayon,traction,avant,238.0,399.5,162.1,129.0,850.9,ohc,four,90,2bbl,7.5,8.2,9.4,68,5500,7.587580645161291,6.189868421052632,6377.0,dodge,challengerse
1,gas,turbo,two,hayon,traction,avant,238.0,399.5,162.1,129.0,965.2,ohc,four,98,mpfi,7.7,8.6,7.6,102,5500,9.800625,7.8405000000000005,7957.0,dodge,d200
1,gas,std,four,hayon,traction,avant,238.0,399.5,162.1,128.5,892.2,ohc,four,90,2bbl,7.5,8.2,9.4,68,5500,7.587580645161291,6.189868421052632,6229.0,dodge,monaco(sw)
1,gas,std,four,berline,traction,avant,238.0,399.5,162.1,128.5,902.2,ohc,four,90,2bbl,7.5,8.2,9.4,68,5500,7.587580645161291,6.189868421052632,6692.0,dodge,colthardtop
1,gas,std,four,berline,traction,avant,238.0,399.5,162.1,128.5,902.2,ohc,four,90,2bbl,7.5,8.2,9.4,68,5500,7.587580645161291,6.189868421052632,7609.0,dodge,colt(sw)
1,gas,turbo,two,berline,traction,avant,238.0,399.5,162.1,128.5,993.8,ohc,four,98,mpfi,7.7,8.6,7.6,102,5500,9.800625,7.8405000000000005,8558.0,dodge,coronetcustom
-1,gas,std,four,break,traction,avant,262.4,443.5,164.1,151.9,1149.9,ohc,four,122,2bbl,8.5,8.8,8.5,88,5000,9.800625,7.8405000000000005,8921.0,dodge,dartcustom
3,gas,turbo,two,hayon,traction,avant,243.6,439.9,168.4,127.5,1275.0,ohc,four,156,mfi,9.1,9.9,7.0,145,5000,12.379736842105263,9.800625,12964.0,dodge,coronetcustom(sw)
2,gas,std,two,hayon,traction,avant,220.0,367.3,162.3,129.0,777.0,ohc,four,92,1bbl,7.4,8.7,9.6,58,4800,4.80030612244898,4.355833333333333,6479.0,honda,civic
2,gas,std,two,hayon,traction,avant,220.0,367.3,162.3,129.0,825.1,ohc,four,92,1bbl,7.4,8.7,9.2,76,6000,7.587580645161291,6.189868421052632,6855.0,honda,civiccvcc
1,gas,std,two,hayon,traction,avant,238.0,381.0,162.6,133.6,833.2,ohc,four,79,1bbl,7.4,7.8,10.1,60,5500,6.189868421052632,5.600357142857143,5399.0,honda,civic
1,gas,std,two,hayon,traction,avant,238.0,381.0,162.6,133.6,880.0,ohc,four,92,1bbl,7.4,8.7,9.2,76,6000,7.8405000000000005,6.9180882352941175,6529.0,honda,accordcvcc
1,gas,std,two,hayon,traction,avant,238.0,381.0,162.6,133.6,887.2,ohc,four,92,1bbl,7.4,8.7,9.2,76,6000,7.8405000000000005,6.9180882352941175,7129.0,honda,civiccvcc
0,gas,std,four,berline,traction,avant,245.1,415.0,162.6,138.4,911.7,ohc,four,92,1bbl,7.4,8.7,9.2,76,6000,7.8405000000000005,6.9180882352941175,7295.0,honda,accordlx
0,gas,std,four,break,traction,avant,245.1,399.0,162.3,148.1,918.1,ohc,four,92,1bbl,7.4,8.7,9.2,76,6000,7.8405000000000005,6.9180882352941175,7295.0,honda,civic1500gl
0,gas,std,two,hayon,traction,avant,245.1,425.4,165.6,135.4,1014.2,ohc,four,110,1bbl,8.0,9.1,9.0,86,5800,8.711666666666666,7.127727272727273,7895.0,honda,accord
0,gas,std,two,hayon,traction,avant,245.1,425.4,165.6,135.4,1038.3,ohc,four,110,1bbl,8.0,9.1,9.0,86,5800,8.711666666666666,7.127727272727273,9095.0,honda,civic1300
0,gas,std,four,berline,traction,avant,245.1,445.5,165.6,137.4,1045.1,ohc,four,110,1bbl,8.0,9.1,9.0,86,5800,8.711666666666666,7.127727272727273,8845.0,honda,prelude
0,gas,std,four,berline,traction,avant,245.1,445.5,158.8,137.4,1075.9,ohc,four,110,1bbl,8.0,9.1,9.0,86,5800,8.711666666666666,7.127727272727273,10295.0,honda,accord
0,gas,std,four,berline,traction,avant,245.1,445.5,165.6,137.4,1118.1,ohc,four,110,mpfi,8.0,9.1,9.0,101,5800,9.800625,8.400535714285715,12945.0,honda,civic
1,gas,std,two,berline,traction,avant,245.1,429.5,167.6,129.5,1040.1,ohc,four,110,2bbl,8.0,9.1,9.1,100,5500,9.4086,7.587580645161291,10345.0,honda,civic(auto)
0,gas,std,four,berline,propulsion,avant,239.5,433.6,157.0,135.9,1060.0,ohc,four,111,2bbl,8.4,8.2,8.5,78,4800,9.800625,8.110862068965517,6785.0,isuzu,MU-X
1,gas,std,two,berline,traction,avant,240.0,396.0,161.5,132.1,850.0,ohc,four,90,2bbl,7.7,7.9,9.6,70,5400,6.189868421052632,5.470116279069767,8916.5,isuzu,D-Max
0,gas,std,four,berline,traction,avant,240.0,396.0,161.5,132.1,865.9,ohc,four,90,2bbl,7.7,7.9,9.6,70,5400,6.189868421052632,5.470116279069767,8916.5,isuzu,D-MaxV-Cross
2,gas,std,two,hayon,propulsion,avant,243.8,438.4,165.6,130.6,1240.1,ohc,four,119,spfi,8.7,8.2,9.2,90,5000,9.800625,8.110862068965517,11048.0,isuzu,D-Max
0,gas,std,four,berline,propulsion,avant,287.0,507.0,176.8,134.1,1844.3,dohc,six,258,mpfi,9.2,10.6,8.1,176,4750,15.681000000000001,12.379736842105263,32250.0,jaguar,xj
0,gas,std,four,berline,propulsion,avant,287.0,507.0,176.8,134.1,1844.3,dohc,six,258,mpfi,9.2,10.6,8.1,176,4750,15.681000000000001,12.379736842105263,35550.0,jaguar,xf
0,gas,std,two,berline,propulsion,avant,259.1,486.9,179.3,121.4,1791.7,ohcv,twelve,326,mpfi,9.0,7.0,11.5,262,5000,18.09346153846154,13.836176470588235,36000.0,jaguar,xk
1,gas,std,two,hayon,traction,avant,236.5,404.1,163.1,137.4,857.3,ohc,four,91,2bbl,7.7,8.0,9.0,68,5000,7.8405000000000005,7.587580645161291,5195.0,mazda,rx3
1,gas,std,two,hayon,traction,avant,236.5,404.1,163.1,137.4,861.8,ohc,four,91,2bbl,7.7,8.0,9.0,68,5000,7.587580645161291,6.189868421052632,6095.0,mazda,glcdeluxe
1,gas,std,two,hayon,traction,avant,236.5,404.1,163.1,137.4,864.1,ohc,four,91,2bbl,7.7,8.0,9.0,68,5000,7.587580645161291,6.189868421052632,6795.0,mazda,rx2coupe
1,gas,std,four,berline,traction,avant,236.5,423.7,163.1,137.4,882.2,ohc,four,91,2bbl,7.7,8.0,9.0,68,5000,7.587580645161291,6.189868421052632,6695.0,mazda,rx-4
1,gas,std,four,berline,traction,avant,236.5,423.7,163.1,137.4,884.5,ohc,four,91,2bbl,7.8,8.0,9.0,68,5000,7.587580645161291,6.189868421052632,7395.0,mazda,glcdeluxe
3,gas,std,two,hayon,propulsion,avant,242.1,429.3,166.9,126.0,1079.5,rotor,two,70,4bbl,8.5,8.3,9.4,101,6000,13.836176470588235,10.226739130434783,10945.0,mazda,626
3,gas,std,two,hayon,propulsion,avant,242.1,429.3,166.9,126.0,1079.5,rotor,two,70,4bbl,8.5,8.3,9.4,101,6000,13.836176470588235,10.226739130434783,11845.0,mazda,glc
3,gas,std,two,hayon,propulsion,avant,242.1,429.3,166.9,126.0,1081.8,rotor,two,70,4bbl,8.5,8.3,9.4,101,6000,13.836176470588235,10.226739130434783,13645.0,mazda,rx-7gs
3,gas,std,two,hayon,propulsion,avant,242.1,429.3,166.9,126.0,1134.0,rotor,two,80,mpfi,8.5,8.3,9.4,135,6000,14.7009375,10.226739130434783,15645.0,mazda,glc4
1,gas,std,two,hayon,traction,avant,251.0,451.6,168.9,136.4,1081.8,ohc,four,122,2bbl,8.6,8.6,8.6,84,4800,9.04673076923077,7.35046875,8845.0,mazda,626
0,gas,std,four,berline,traction,avant,251.0,451.6,168.9,141.0,1093.2,ohc,four,122,2bbl,8.6,8.6,8.6,84,4800,9.04673076923077,7.35046875,8495.0,mazda,glccustoml
1,gas,std,two,hayon,traction,avant,251.0,451.6,168.9,136.4,1081.8,ohc,four,122,2bbl,8.6,8.6,8.6,84,4800,9.04673076923077,7.35046875,10595.0,mazda,glccustom
0,gas,std,four,berline,traction,avant,251.0,451.6,168.9,141.0,1093.2,ohc,four,122,2bbl,8.6,8.6,8.6,84,4800,9.04673076923077,7.35046875,10245.0,mazda,rx-4
0,diesel,std,four,berline,traction,avant,251.0,451.6,168.9,141.0,1108.1,ohc,four,122,idi,8.6,8.6,22.7,64,4650,6.53375,5.600357142857143,10795.0,mazda,glcdeluxe
0,gas,std,four,hayon,traction,avant,251.0,451.6,168.9,141.0,1100.0,ohc,four,122,2bbl,8.6,8.6,8.6,84,4800,9.04673076923077,7.35046875,11245.0,mazda,626
0,gas,std,four,berline,propulsion,avant,266.4,444.5,167.9,138.2,1211.1,ohc,four,140,mpfi,9.6,8.0,8.0,120,5000,12.379736842105263,8.711666666666666,18280.0,mazda,glc
0,diesel,std,four,berline,propulsion,avant,266.4,444.5,167.9,138.2,1224.7,ohc,four,134,idi,8.7,9.2,22.0,72,4200,7.587580645161291,6.031153846153846,18344.0,mazda,rx-7gs
-1,diesel,turbo,four,berline,propulsion,avant,279.4,484.9,178.6,143.5,1594.4,ohc,five,183,idi,9.1,9.2,21.5,123,4350,10.691590909090909,9.4086,25552.0,buick,electra225custom
-1,diesel,turbo,four,break,propulsion,avant,279.4,484.9,178.6,149.1,1701.0,ohc,five,183,idi,9.1,9.2,21.5,123,4350,10.691590909090909,9.4086,28248.0,buick,centuryluxus(sw)
0,diesel,turbo,two,coupé,propulsion,avant,271.0,476.2,178.6,139.4,1585.3,ohc,five,183,idi,9.1,9.2,21.5,123,4350,10.691590909090909,9.4086,28176.0,buick,century
-1,diesel,turbo,four,berline,propulsion,avant,293.6,514.6,182.1,143.0,1710.0,ohc,five,183,idi,9.1,9.2,21.5,123,4350,10.691590909090909,9.4086,31600.0,buick,skyhawk
-1,gas,std,four,berline,propulsion,avant,293.6,514.6,182.1,143.5,1696.4,ohcv,eight,234,mpfi,8.8,7.9,8.3,155,4750,14.7009375,13.0675,34184.0,buick,opelisuzudeluxe
3,gas,std,two,décapotable,propulsion,avant,245.4,458.0,179.1,129.0,1671.5,ohcv,eight,234,mpfi,8.8,7.9,8.3,155,4750,14.7009375,13.0675,35056.0,buick,skylark
0,gas,std,four,berline,propulsion,avant,307.1,528.6,182.1,144.0,1769.0,ohcv,eight,308,mpfi,9.7,8.5,8.0,184,4500,16.80107142857143,14.7009375,40960.0,buick,centuryspecial
1,gas,std,two,coupé,propulsion,avant,284.5,506.0,182.9,140.7,1685.1,ohcv,eight,304,mpfi,9.7,8.5,8.0,184,4500,16.80107142857143,14.7009375,45400.0,buick,regalsportcoupe(turbo)
1,gas,turbo,two,hayon,propulsion,avant,260.9,453.1,172.7,139.2,1320.0,ohc,four,140,mpfi,9.6,7.9,8.0,175,5000,12.379736842105263,9.800625,16503.0,mercury,cougar
2,gas,std,two,hayon,traction,avant,238.0,399.5,163.6,129.0,870.0,ohc,four,92,2bbl,7.5,8.2,9.4,68,5500,6.357162162162163,5.736951219512195,5389.0,mitsubishi,mirage
2,gas,std,two,hayon,traction,avant,238.0,399.5,163.6,129.0,881.8,ohc,four,92,2bbl,7.5,8.2,9.4,68,5500,7.587580645161291,6.189868421052632,6189.0,mitsubishi,lancer
